Year,Month,Deal ID,Stage,PSO/Non-PSO,Region,Practice,Channel,Business Unit,Weight,Leads UW,Leads,SalesOps,Actuals
2021,4,3322,Commit,Non-PSO,US-Central,Conversational AI,GCP,Edu & PubSec,1.00,"$53,120","$53,120","$53,120",$0
2021,4,3339,L4,Non-PSO,US-Central,Others,AWS,HCLS,0.10,"$6,522",$652,$0,$0
2021,4,3342,Commit,Non-PSO,US-West,Custom AI/ML,GCP,BFSI,1.00,"$43,000","$43,000","$43,000",$0
2021,4,3345,L3,Non-PSO,US-Central,Conversational AI,AWS,HCLS,0.10,"$11,413","$1,141",$0,$0
2021,4,3367,On Hold,Non-PSO,US-East,Marketing Analytics,GCP,Others,0.00,"$45,857",$0,$0,$0
2021,4,3372,Pre-Commit,Non-PSO,India,Conversational AI,AWS,BFSI,0.90,"$15,000","$13,500","$13,500","$11,262"
2021,4,3377,L1,PSO,US-East,Custom AI/ML,GCP,Edu & PubSec,0.50,"$47,314","$23,657","$23,657",$0
2021,4,3378,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$13,466","$13,466","$13,466","$14,321"
2021,4,3379,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$14,895","$14,895","$14,895","$15,840"
2021,4,3380,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$5,114","$5,114","$5,114","$5,438"
2021,4,3381,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$14,995","$14,995","$14,995","$15,590"
2021,4,3382,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$4,091","$4,091","$4,091","$4,351"
2021,4,3403,L1,Non-PSO,US-East,Others,AWS,Edu & PubSec,0.00,$0,$0,$0,"$13,900"
2021,4,3429,On Hold,Non-PSO,US-East,Custom AI/ML,AWS,BFSI,0.00,"$11,905",$0,$0,$0
2021,4,3430,L2-L4 Mega,Non-PSO,US-West,Document Understanding AI,AWS,Others,0.00,"$120,879",$0,$0,$0
2021,4,3448,On Hold,Non-PSO,US-East,Custom AI/ML,GCP,Others,0.00,"$86,855",$0,$0,$0
2021,4,3467,L3,Non-PSO,LATAM,Custom AI/ML,GCP,Others,0.10,"$14,286","$1,429",$0,$0
2021,4,3475,L2-L4 Extn,Non-PSO,US-East,Custom AI/ML,GCP,HCLS,0.90,"$14,971","$13,474","$13,474",$0
2021,4,3479,Commit,Non-PSO,US-East,Application Modernization,AWS,Others,1.00,"$79,000","$79,000","$79,000","$91,050"
2021,4,3482,Commit,Non-PSO,US-East,ML Ops,AWS,TMEG,1.00,"$6,500","$6,500","$6,500","$6,500"
2021,4,3484,Commit,Non-PSO,US-East,Application Modernization,AWS,Others,1.00,"$40,000","$40,000","$40,000","$38,050"
2021,4,3485,L1 Extn,Non-PSO,US-East,Custom AI/ML,Direct,Others,0.90,"$111,264","$100,137","$100,137","$124,920"
2021,4,3486,L2-L4 Extn,Non-PSO,US-East,Custom AI/ML,Direct,Others,0.00,$0,$0,$0,"$60,000"
2021,4,3489,Commit,Non-PSO,US-East,Conversational AI,GCP,Edu & PubSec,1.00,"$3,500","$3,500","$3,500","$3,500"
2021,4,3504,On Hold,Non-PSO,US-East,Custom AI/ML,GCP,HCLS,0.00,"$13,414",$0,$0,$0
2021,4,3512,Commit,Non-PSO,US-Central,Data & Analytics,GCP,BFSI,1.00,"$2,200","$2,200","$2,200","$12,600"
2021,4,3527,On Hold,Non-PSO,India,Others,AWS,Others,0.00,"$18,027",$0,$0,$0
2021,4,3529,L1 Extn,Non-PSO,US-East,Custom AI/ML,Direct,Others,0.90,"$90,000","$81,000","$81,000","$151,200"
2021,4,3530,Commit,Non-PSO,US-East,Data & Analytics,Direct,Others,1.00,"$45,000","$45,000","$45,000","$43,200"
2021,4,3531,Commit,Non-PSO,EMEA,Custom AI/ML,Direct,HCLS,1.00,"$15,000","$15,000","$15,000","$15,000"
2021,4,3532,Commit,Non-PSO,EMEA,Data & Analytics,Direct,HCLS,1.00,"$5,000","$5,000","$5,000","$5,000"
2021,4,3533,Pre-Commit,Non-PSO,EMEA,Data & Analytics,Direct,HCLS,0.90,"$13,055","$11,749","$11,749","$13,200"
2021,4,3548,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$4,000","$4,000","$4,000","$4,224"
2021,4,3550,Commit,Non-PSO,US-Central,Conversational AI,GCP,Edu & PubSec,1.00,"$4,500","$4,500","$4,500","$4,500"
2021,4,3553,Commit,Non-PSO,US-Central,Others,AWS,Others,1.00,"$18,462","$18,462","$18,462","$20,000"
2021,4,3558,Commit,PSO,US-East,Data & Analytics,GCP,Others,1.00,"$44,000","$44,000","$44,000","$30,800"
2021,4,3577,L1 Extn,Non-PSO,EMEA,Data & Analytics,Direct,HCLS,0.90,"$180,592","$162,533","$162,533","$167,813"
2021,4,3582,On Hold,Non-PSO,US-West,Custom AI/ML,AWS,Others,0.00,"$15,429",$0,$0,$0
2021,4,3583,Commit,Non-PSO,US-West,Data & Analytics,Direct,BFSI,1.00,"$48,000","$48,000","$48,000","$37,248"
2021,4,3586,Commit,Non-PSO,US-East,Data & Analytics,Direct,HCLS,1.00,"$49,280","$49,280","$49,280","$49,280"
2021,4,3587,Commit,Non-PSO,US-East,Data & Analytics,Direct,HCLS,1.00,"$49,280","$49,280","$49,280","$56,000"
2021,4,3594,Commit,Non-PSO,US-East,Custom AI/ML,GCP,HCLS,1.00,"$66,666","$66,666","$66,666","$66,666"
2021,4,3595,Pre-Commit,Non-PSO,US-East,Custom AI/ML,GCP,Others,0.90,"$256,226","$230,603","$230,603","-$310,966"
2021,4,3604,L3,Non-PSO,India,Others,AWS,Others,0.10,$809,$81,$0,$0
2021,4,3606,Commit,Non-PSO,US-East,Infrastructure Modernization,Direct,HCLS,1.00,"$9,240","$9,240","$9,240","$9,240"
2021,4,3619,Commit,Non-PSO,US-West,Custom AI/ML,GCP,Others,1.00,"$103,080","$103,080","$103,080","$89,792"
2021,4,3627,Commit,Non-PSO,US-West,Custom AI/ML,GCP,BFSI,1.00,"$45,360","$45,360","$45,360","$45,365"
2021,4,3636,Commit,Non-PSO,US-East,Data & Analytics,Direct,HCLS,1.00,"$56,880","$56,880","$56,880","$56,880"
2021,4,3639,Commit,Non-PSO,India,Managed Services,GCP,TMEG,1.00,"$2,000","$2,000","$2,000",$0
2021,4,3642,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$166,393","$166,393","$166,393","$175,000"
2021,4,3643,Commit,Non-PSO,US-East,Others,Direct,BFSI,0.00,$0,$0,$0,"$5,024"
2021,4,3648,Commit,PSO,US-West,Data & Analytics,GCP,Others,1.00,"$8,200","$8,200","$8,200","$7,980"
2021,4,3653,On Hold,Non-PSO,US-East,Data & Analytics,GCP,BFSI,0.00,"$82,029",$0,$0,$0
2021,4,3654,Commit,PSO,India,Data & Analytics,GCP,Others,1.00,"$200,000","$200,000","$200,000",$0
2021,4,3658,Commit,Non-PSO,US-East,Data & Analytics,GCP,HCLS,1.00,"$49,200","$49,200","$49,200",$0
2021,4,3660,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$109,078","$109,078","$109,078","$90,684"
2021,4,3661,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$115,731","$115,731","$115,731","$110,616"
2021,4,3662,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$78,408","$78,408","$78,408","$78,012"
2021,4,3663,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$97,990","$97,990","$97,990","$94,195"
2021,4,3664,Commit,Non-PSO,US-East,Others,Direct,BFSI,1.00,"$23,232","$23,232","$23,232","$21,912"
2021,4,3669,Pre-Commit,Non-PSO,US-Central,Document Understanding AI,GCP,BFSI,0.50,"$17,391","$8,696","$8,696",$0
2021,4,3670,L1 Extn,PSO,US-Central,Conversational AI,GCP,Others,0.75,"$14,857","$11,143","$11,143",$0
2021,4,3677,L1,Non-PSO,US-East,Custom AI/ML,Direct,BFSI,0.90,"$353,298","$317,968",$0,"$321,667"
2021,4,3679,L2,Non-PSO,US-East,Conversational AI,AWS,Others,0.15,"$32,798","$4,920",$0,$0
2021,4,3685,L1 Extn,Non-PSO,EMEA,Document Understanding AI,GCP,BFSI,0.75,"$5,769","$4,327","$4,327",$0
2021,4,3703,Commit,Non-PSO,US-East,Conversational AI,AWS,BFSI,0.00,$0,$0,$0,"$26,130"
2021,4,3707,Commit,Non-PSO,US-East,Data & Analytics,Direct,BFSI,1.00,"$5,544","$5,544","$5,544","$5,544"
2021,4,3708,Commit,PSO,US-Central,Data & Analytics,GCP,Others,1.00,"$136,048","$136,048","$136,048","$138,521"
2021,4,3745,L1 Extn,Non-PSO,US-East,Document Understanding AI,GCP,BFSI,0.90,"$25,752","$23,177","$23,177",$0
2021,4,3747,Commit,PSO,US-West,Conversational AI,GCP,TMEG,1.00,"$16,293","$16,293","$16,293","$16,293"
